Indeks,Forma podstawowa (Infinitive),Czas przeszły (Past Simple),Imiesłów bierny (Past Participle),Tłumaczenie angielsko-polskie,Wymowa UK (IPA),Wymowa US (IPA)
1,abide,abode/abided,abode/abided,"przebywać, znosić",/əˈbaɪd/,/əˈbaɪd/
2,alight,alit/alighted,alit/alighted,"zsiadać, lądować",/əˈlaɪt/,/əˈlaɪt/
3,arise,arose,arisen,"powstawać, pojawiać się",/əˈraɪz/,/əˈraɪz/
4,awake,awoke,awoken,budzić (się),/əˈweɪk/,/əˈweɪk/
5,babysit,babysat,babysat,opiekować się dzieckiem,/ˈbeɪbisɪt/,/ˈbeɪbisɪt/
6,backbite,backbit,backbitten,obgadywać,/ˈbækbaɪt/,/ˈbækbaɪt/
7,backcast,backcast,backcast,rzucać wędką do tyłu,/ˈbækɑːst/,/ˈbækæst/
8,backslide,backslid,backslidden/backslid,"cofać się (moralnie), wracać do złych nawyków",/ˈbækslaɪd/,/ˈbækslaɪd/
9,be,was/were,been,być,/biː/,/biː/
10,bear,bore,born/borne,"nosić, znosić, rodzić",/beə(r)/,/ber/
11,beat,beat,beaten,"bić, pokonać",/biːt/,/biːt/
12,become,became,become,stawać się,/bɪˈkʌm/,/bɪˈkʌm/
13,befall,befell,befallen,przydarzać się,/bɪˈfɔːl/,/bɪˈfɔːl/
14,beget,begot,begotten,"płodzić, powodować",/bɪˈɡet/,/bɪˈɡet/
15,begin,began,begun,zaczynać,/bɪˈɡɪn/,/bɪˈɡɪn/
16,behold,beheld,beheld,"ujrzeć, spostrzec",/bɪˈhəʊld/,/bɪˈhoʊld/
17,bend,bent,bent,zginać (się),/bend/,/bend/
18,bereave,bereft/bereaved,bereft/bereaved,"osierocić, pozbawić",/bɪˈriːv/,/bɪˈriːv/
19,beseech,besought/beseeched,besought/beseeched,błagać,/bɪˈsiːtʃ/,/bɪˈsiːtʃ/
20,beset,beset,beset,"osaczać, dręczyć",/bɪˈset/,/bɪˈset/
21,bespeak,bespoke,bespoken,"zamawiać, świadczyć o",/bɪˈspiːk/,/bɪˈspiːk/
22,bestride,bestrode,bestridden,siedzieć okrakiem,/bɪˈstraɪd/,/bɪˈstraɪd/
23,bet,bet,bet,zakładać się,/bet/,/bet/
24,bid,bid/bade,bid/bidden,"licytować, rozkazywać",/bɪd/,/bɪd/
25,bind,bound,bound,wiązać,/baɪnd/,/baɪnd/
26,bite,bit,bitten,gryźć,/baɪt/,/baɪt/
27,bleed,bled,bled,krwawić,/bliːd/,/bliːd/
28,blow,blew,blown,dmuchać,/bləʊ/,/bloʊ/
29,break,broke,broken,"łamać, psuć",/breɪk/,/breɪk/
30,breastfeed,breastfed,breastfed,karmić piersią,/ˈbrestfiːd/,/ˈbrestfiːd/
31,breed,bred,bred,hodować,/briːd/,/briːd/
32,bring,brought,brought,przynosić,/brɪŋ/,/brɪŋ/
33,broadcast,broadcast,broadcast,"nadawać, transmitować",/ˈbrɔːdkɑːst/,/ˈbrɔːdkæst/
34,browbeat,browbeat,browbeaten,zastraszać,/ˈbraʊbiːt/,/ˈbraʊbiːt/
35,build,built,built,budować,/bɪld/,/bɪld/
36,burn,burnt/burned,burnt/burned,"palić, parzyć",/bɜːn/,/bɜːrn/
37,burst,burst,burst,"pękać, wybuchać",/bɜːst/,/bɜːrst/
38,buy,bought,bought,kupować,/baɪ/,/baɪ/
39,cast,cast,cast,"rzucać, obsadzać",/kɑːst/,/kæst/
40,catch,caught,caught,łapać,/kætʃ/,/kætʃ/
41,chide,chid/chided,chid/chidden/chided,"karcić, strofować",/tʃaɪd/,/tʃaɪd/
42,choose,chose,chosen,wybierać,/tʃuːz/,/tʃuːz/
43,clap,clapt/clapped,clapt/clapped,klaskać,/klæp/,/klæp/
44,cleave,clove/cleft/cleaved,cloven/cleft/cleaved,rozłupywać,/kliːv/,/kliːv/
45,clepe,cleped/clept,y-clept,"nazywać, wołać (skrajnie archaiczne)",/kliːp/,/kliːp/
46,cling,clung,clung,"przylegać, uczepić się",/klɪŋ/,/klɪŋ/
47,clothe,clad/clothed,clad/clothed,"odziewać, ubierać",/kləʊð/,/kloʊð/
48,come,came,come,przychodzić,/kʌm/,/kʌm/
49,cost,cost,cost,kosztować,/kɒst/,/kɔːst/
50,creep,crept,crept,skradać się,/kriːp/,/kriːp/
51,crossbreed,crossbred,crossbred,krzyżować (rasy),/ˈkrɒsbriːd/,/ˈkrɔːsbriːd/
52,crosscut,crosscut,crosscut,ciąć w poprzek,/ˈkrɒskʌt/,/ˈkrɔːskʌt/
53,crow,crew/crowed,crowed/crown,piać (kogut) (forma 'crew' jest archaiczna),/krəʊ/,/kroʊ/
54,cut,cut,cut,"ciąć, kroić",/kʌt/,/kʌt/
55,dare,durst/dared,dared,ośmielać się (forma 'durst' jest archaiczna),/deə(r)/,/der/
56,daydream,daydreamed/daydreamt,daydreamed/daydreamt,marzyć na jawie,/ˈdeɪdriːm/,/ˈdeɪdriːm/
57,deal,dealt,dealt,"radzić sobie, zajmować się",/diːl/,/diːl/
58,deep-freeze,deep-froze,deep-frozen,mrozić,/ˌdiːpˈfriːz/,/ˌdiːpˈfriːz/
59,dig,dug,dug,kopać,/dɪɡ/,/dɪɡ/
60,disprove,disproved,disproven/disproved,"obalać (dowód, teorię)",/ˌdɪsˈpruːv/,/ˌdɪsˈpruːv/
61,dive,dove/dived,dived,nurkować,/daɪv/,/daɪv/
62,do,did,done,robić,/duː/,/duː/
63,downsize,downsized,downsized,redukować (zatrudnienie),/ˈdaʊnsaɪz/,/ˈdaʊnsaɪz/
64,draw,drew,drawn,rysować,/drɔː/,/drɔː/
65,dream,dreamt/dreamed,dreamt/dreamed,"śnić, marzyć",/driːm/,/driːm/
66,drink,drank,drunk,pić,/drɪŋk/,/drɪŋk/
67,drive,drove,driven,prowadzić (pojazd),/draɪv/,/draɪv/
68,dry-clean,dry-cleaned,dry-cleaned,czyścić chemicznie,/ˌdraɪˈkliːn/,/ˌdraɪˈkliːn/
69,dwell,dwelt/dwelled,dwelt/dwelled,"mieszkać, przebywać",/dwel/,/dwel/
70,eat,ate,eaten,jeść,/iːt/,/iːt/
71,enwind,enwound,enwound,oplatać,/ɪnˈwaɪnd/,/ɪnˈwaɪnd/
72,fall,fell,fallen,upadać,/fɔːl/,/fɔːl/
73,feed,fed,fed,karmić,/fiːd/,/fiːd/
74,feel,felt,felt,czuć,/fiːl/,/fiːl/
75,fight,fought,fought,walczyć,/faɪt/,/faɪt/
76,find,found,found,znajdować,/faɪnd/,/faɪnd/
77,fit,fit/fitted,fit/fitted,pasować,/fɪt/,/fɪt/
78,flee,fled,fled,uciekać,/fliː/,/fliː/
79,fling,flung,flung,ciskać,/flɪŋ/,/flɪŋ/
80,floodlight,floodlit/floodlighted,floodlit/floodlighted,oświetlać (reflektorami),/ˈflʌdlaɪt/,/ˈflʌdlaɪt/
81,fly,flew,flown,latać,/flaɪ/,/flaɪ/
82,forbear,forbore,forborne,"powstrzymywać się, zaniechać",/fɔːˈbeə(r)/,/fɔːrˈber/
83,forbid,forbade,forbidden,zabraniać,/fəˈbɪd/,/fərˈbɪd/
84,forecast,forecast,forecast,prognozować,/ˈfɔːkɑːst/,/ˈfɔːrkæst/
85,forego,forewent,foregone,poprzedzać (rzadkie),/fɔːˈɡəʊ/,/fɔːrˈɡoʊ/
86,forerun,foreran,forerun,"zapowiadać, poprzedzać",/fɔːˈrʌn/,/fɔːrˈrʌn/
87,foresee,foresaw,foreseen,przewidywać,/fɔːˈsiː/,/fɔːrˈsiː/
88,forespeak,forespoke,forespoken,"przepowiadać, zamawiać",/fɔːˈspiːk/,/fɔːrˈspiːk/
89,foretell,foretold,foretold,przepowiadać,/fɔːˈtel/,/fɔːrˈtel/
90,forget,forgot,forgotten,zapominać,/fəˈɡet/,/fərˈɡet/
91,forgive,forgave,forgiven,wybaczać,/fəˈɡɪv/,/fərˈɡɪv/
92,forgo,forwent,forgone,"rezygnować z, zrzekać się",/fɔːˈɡəʊ/,/fɔːrˈɡoʊ/
93,forsake,forsook,forsaken,porzucać,/fəˈseɪk/,/fərˈseɪk/
94,forswear,forswore,forsworn,wypierać się pod przysięgą,/fɔːˈsweə(r)/,/fɔːrˈswer/
95,fraught,fraught,fraught,"ładować (statek) (archaiczne, dziś przymiotnik)",/frɔːt/,/frɔːt/
96,freeze,froze,frozen,zamarzać,/friːz/,/friːz/
97,freight,freighted,freighted/fraught,"frachtować, ładować",/freɪt/,/freɪt/
98,frostbite,frostbit,frostbitten,odmrozić,/ˈfrɒstbaɪt/,/ˈfrɔːstbaɪt/
99,gainsay,gainsaid,gainsaid,zaprzeczać,/ˌɡeɪnˈseɪ/,/ˌɡeɪnˈseɪ/
100,geld,gelt/gelded,gelt/gelded,kastrować,/ɡeld/,/ɡeld/
101,get,got,got/gotten,dostawać,/ɡet/,/ɡet/
102,ghostwrite,ghostwrote,ghostwritten,pisać za kogoś (jako anonimowy autor),/ˈɡəʊstraɪt/,/ˈɡoʊstraɪt/
103,gild,gilt/gilded,gilt/gilded,złocić,/ɡɪld/,/ɡɪld/
104,gird,girt/girded,girt/girded,opasywać,/ɡɜːd/,/ɡɜːrd/
105,give,gave,given,dawać,/ɡɪv/,/ɡɪv/
106,go,went,gone,"iść, jechać",/ɡəʊ/,/ɡoʊ/
107,grave,graved,graven/graved,"rzeźbić, grawerować",/ɡreɪv/,/ɡreɪv/
108,grind,ground,ground,mielić,/ɡraɪnd/,/ɡraɪnd/
109,grow,grew,grown,rosnąć,/ɡrəʊ/,/ɡroʊ/
110,hand-feed,hand-fed,hand-fed,karmić z ręki,/ˈhænd fiːd/,/ˈhænd fiːd/
111,handwrite,handwrote,handwritten,pisać odręcznie,/ˈhændraɪt/,/ˈhændraɪt/
112,hang,hung,hung,wieszać,/hæŋ/,/hæŋ/
113,hamstring,hamstrung,hamstrung,"paraliżować, unieruchamiać",/ˈhæmstrɪŋ/,/ˈhæmstrɪŋ/
114,have,had,had,mieć,/hæv/,/hæv/
115,hear,heard,heard,słyszeć,/hɪə(r)/,/hɪr/
116,heave,hove/heaved,hove/heaved,"dźwigać, falować",/hiːv/,/hiːv/
117,hew,hewed,hewn/hewed,"ciosać, rąbać",/hjuː/,/hjuː/
118,hide,hid,hidden,chować (się),/haɪd/,/haɪd/
119,hight,hight,hight,nazywać się (skrajnie archaiczne),/haɪt/,/haɪt/
120,hit,hit,hit,uderzać,/hɪt/,/hɪt/
121,hold,held,held,trzymać,/həʊld/,/hoʊld/
122,house-sit,house-sat,house-sat,opiekować się domem (pod nieobecność właścicieli),/ˈhaʊs sɪt/,/ˈhaʊs sɪt/
123,housebreak,housebroke,housebroken,uczyć (zwierzę) czystości w domu,/ˈhaʊsbreɪk/,/ˈhaʊsbreɪk/
124,hurt,hurt,hurt,"ranić, boleć",/hɜːt/,/hɜːrt/
125,inbreed,inbred,inbred,chować wsobnie,/ˈɪnbriːd/,/ˈɪnbriːd/
126,inlay,inlaid,inlaid,"wykładać, inkrustować",/ɪnˈleɪ/,/ɪnˈleɪ/
127,input,input,input,wprowadzać (dane),/ˈɪnpʊt/,/ˈɪnpʊt/
128,inset,inset,inset,"wstawiać, umieszczać",/ɪnˈset/,/ˈɪnset/
129,interbreed,interbred,interbred,krzyżować (międzyrasowo),/ˌɪntəˈbriːd/,/ˌɪntərˈbriːd/
130,intercut,intercut,intercut,wplatać (sceny w filmie),/ˌɪntəˈkʌt/,/ˌɪntərˈkʌt/
131,interlay,interlaid,interlaid,przekładać warstwami,/ˌɪntəˈleɪ/,/ˌɪntərˈleɪ/
132,interweave,interwove,interwoven,"wplatać, przeplatać",/ˌɪntəˈwiːv/,/ˌɪntərˈwiːv/
133,jerry-build,jerry-built,jerry-built,"budować prowizorycznie, byle jak",/ˈdʒeri bɪld/,/ˈdʒeri bɪld/
134,keep,kept,kept,"trzymać, zatrzymać",/kiːp/,/kiːp/
135,kneel,knelt/kneeled,knelt/kneeled,klękać,/niːl/,/niːl/
136,knit,knit/knitted,knit/knitted,robić na drutach,/nɪt/,/nɪt/
137,know,knew,known,"wiedzieć, znać",/nəʊ/,/noʊ/
138,lade,laded,laden/laded,"ładować, czerpać",/leɪd/,/leɪd/
139,lay,laid,laid,kłaść,/leɪ/,/leɪ/
140,lead,led,led,prowadzić,/liːd/,/liːd/
141,leap,leapt/leaped,leapt/leaped,skakać,/liːp/,/liːp/
142,leapfrog,leapfrogged/leapfrogt,leapfrogged/leapfrogt,"przeskakiwać, wyprzedzać",/ˈliːpfrɒɡ/,/ˈliːpfrɔːɡ/
143,learn,learnt/learned,learnt/learned,uczyć się,/lɜːn/,/lɜːrn/
144,leave,left,left,"opuszczać, zostawiać",/liːv/,/liːv/
145,lend,lent,lent,pożyczać (komuś),/lend/,/lend/
146,let,let,let,pozwalać,/let/,/let/
147,lie,lay,lain,leżeć,/laɪ/,/laɪ/
148,light,lit/lighted,lit/lighted,"zapalać, oświetlać",/laɪt/,/laɪt/
149,lip-read,lip-read,lip-read,czytać z ruchu warg,/ˈlɪp riːd/,/ˈlɪp riːd/
150,lose,lost,lost,"gubić, tracić",/luːz/,/luːz/
151,make,made,made,"robić, tworzyć",/meɪk/,/meɪk/
152,mean,meant,meant,"znaczyć, mieć na myśli",/miːn/,/miːn/
153,meet,met,met,spotykać,/miːt/,/miːt/
