Indeks,Słowo (Polski),Tłumaczenie (Angielski),Wymowa US,Wymowa UK
1,Pracować,Work,/wɝːk/,/wɜːk/
2,Pytać,Ask,/æsk/,/ɑːsk/
3,Mówić,Speak,/spiːk/,/spiːk/
4,Dawać,Give,/ɡɪv/,/ɡɪv/
5,Brać,Take,/teɪk/,/teɪk/
6,Myśleć,Think,/θɪŋk/,/θɪŋk/
7,Oglądać,Watch,/wɑːtʃ/,/wɒtʃ/
8,Chodzić,Walk,/wɑːk/,/wɔːk/
9,Jeść,Eat,/iːt/,/iːt/
10,Grać,Play,/pleɪ/,/pleɪ/
11,Pomagać,Help,/help/,/help/
12,Czytać,Read,/riːd/,/riːd/
13,Pisać,Write,/raɪt/,/raɪt/
14,Słuchać,Listen,/ˈlɪs.ən/,/ˈlɪs.ən/
15,Opuszczać,Leave,/liːv/,/liːv/
16,Czekać,Wait,/weɪt/,/weɪt/
17,Spać,Sleep,/sliːp/,/sliːp/
18,Biegać,Run,/rʌn/,/rʌn/
19,Używać,Use,/juːz/,/juːz/
20,Kupować,Buy,/baɪ/,/baɪ/
21,Płacić,Pay,/peɪ/,/peɪ/
22,Uczyć się,Learn,/lɝːn/,/lɜːn/
23,Zaczynać,Start,/stɑːrt/,/stɑːt/
24,Zatrzymywać,Stop,/stɑːp/,/stɒp/
25,Stać,Stand,/stænd/,/stænd/
26,Siedzieć,Sit,/sɪt/,/sɪt/
27,Otwierać,Open,/ˈoʊ.pən/,/ˈəʊ.pən/
28,Zamykać,Close,/kloʊz/,/kləʊz/
29,Uczyć (kogoś),Teach,/tiːtʃ/,/tiːtʃ/
30,Prowadzić (samochód),Drive,/draɪv/,/draɪv/
31,Rozumieć,Understand,/ˌʌn.dɚˈstænd/,/ˌʌn.dəˈstænd/
32,Pamiętać,Remember,/rɪˈmem.bɚ/,/rɪˈmem.bə/
33,Wierzyć,Believe,/bɪˈliːv/,/bɪˈliːv/
34,Próbować,Try,/traɪ/,/traɪ/
35,Sprawdzać,Check,/tʃek/,/tʃek/
36,Wybierać,Choose,/tʃuːz/,/tʃuːz/
37,Znajdować,Find,/faɪnd/,/faɪnd/
38,Szukać,Seek / Look for,/siːk/ /lʊk fɔːr/,/siːk/ /lʊk fɔː(r)/
39,Pić,Drink,/drɪŋk/,/drɪŋk/
40,Sprzedawać,Sell,/sel/,/sel/
41,Odpowiadać,Answer,/ˈæn.sɚ/,/ˈɑːn.sə/
42,Śmiać się,Laugh,/læf/,/lɑːf/
43,Uśmiechać się,Smile,/smaɪl/,/smaɪl/
44,Płakać,Cry,/kraɪ/,/kraɪ/
45,Umierać,Die,/daɪ/,/daɪ/
46,Budować,Build,/bɪld/,/bɪld/
47,Planować,Plan,/plæn/,/plæn/
48,Ciąć,Cut,/kʌt/,/kʌt/
49,Dołączać,Join,/dʒɔɪn/,/dʒɔɪn/
50,Uczestniczyć,Participate,/pɑːrˈtɪs.ə.peɪt/,/pɑːˈtɪs.ɪ.peɪt/
51,Decydować,Decide,/dɪˈsaɪd/,/dɪˈsaɪd/
52,Wyjaśniać,Explain,/ɪkˈspleɪn/,/ɪkˈspleɪn/
53,Opisywać,Describe,/dɪˈskraɪb/,/dɪˈskraɪb/
54,Osiągać,Achieve,/əˈtʃiːv/,/əˈtʃiːv/
55,Ulepszać,Improve,/ɪmˈpruːv/,/ɪmˈpruːv/
56,Rozwijać,Develop,/dɪˈvel.əp/,/dɪˈvel.əp/
57,Rosnąć,Grow,/ɡroʊ/,/ɡrəʊ/
58,Gotować,Cook,/kʊk/,/kʊk/
59,Sprzątać,Clean,/kliːn/,/kliːn/
60,Robić zakupy,Shop,/ʃɑːp/,/ʃɒp/
61,Podróżować,Travel,/ˈtræv.əl/,/ˈtræv.əl/
62,Pływać,Swim,/swɪm/,/swɪm/
63,Latać,Fly,/flaɪ/,/flaɪ/
64,Tańczyć,Dance,/dæns/,/dɑːns/
65,Śpiewać,Sing,/sɪŋ/,/sɪŋ/
66,Odpoczywać,Rest,/rest/,/rest/
67,Relaksować się,Relax,/rɪˈlæks/,/rɪˈlæks/
68,Ćwiczyć,Exercise,/ˈek.sɚ.saɪz/,/ˈek.sə.saɪz/
69,Walczyć,Fight,/faɪt/,/faɪt/
70,Zwyciężać,Win,/wɪn/,/wɪn/
71,Przegrywać,Lose,/luːz/,/luːz/
72,Pchać,Push,/pʊʃ/,/pʊʃ/
73,Ciągnąć,Pull,/pʊl/,/pʊl/
74,Rzucać,Throw,/θroʊ/,/θrəʊ/
75,Łapać,Catch,/kætʃ/,/kætʃ/
76,Ufać,Trust,/trʌst/,/trʌst/
77,Dzielić się,Share,/ʃer/,/ʃeə/
78,Unikać,Avoid,/əˈvɔɪd/,/əˈvɔɪd/
79,Dotykać,Touch,/tʌtʃ/,/tʌtʃ/
80,Oczekiwać,Expect,/ɪkˈspekt/,/ɪkˈspekt/
81,Zapominać,Forget,/fɚˈɡet/,/fəˈɡet/
82,Zarządzać,Manage,/ˈmæn.ədʒ/,/ˈmæn.ɪdʒ/
83,Obserwować,Follow,/ˈfɑː.loʊ/,/ˈfɒl.əʊ/
84,Tworzyć,Create,/kriˈeɪt/,/kriˈeɪt/
85,Pozwalać,Allow,/əˈlaʊ/,/əˈlaʊ/
86,Prowadzić,Lead,/liːd/,/liːd/
87,Zgadzać się,Agree,/əˈɡriː/,/əˈɡriː/
88,Oferować,Offer,/ˈɑː.fɚ/,/ˈɒf.ə/
89,Marzyć,Dream,/driːm/,/driːm/
90,Jeździć na rowerze,Cycle,/ˈsaɪ.kəl/,/ˈsaɪ.kəl/
91,Rysować,Draw,/drɑː/,/drɔː/
92,Malować,Paint,/peɪnt/,/peɪnt/
93,Skakać,Jump,/dʒʌmp/,/dʒʌmp/
94,Zauważać,Notice,/ˈnoʊ.t̬ɪs/,/ˈnəʊ.tɪs/
95,Naprawiać,Fix / Repair,/fɪks/ /rɪˈper/,/fɪks/ /rɪˈpeə/
96,Świętować,Celebrate,/ˈsel.ə.breɪt/,/ˈsel.ə.breɪt/
97,Podnosić,Lift,/lɪft/,/lɪft/
98,Akceptować,Accept,/əkˈsept/,/əkˈsept/
99,Odmawiać,Refuse,/rɪˈfjuːz/,/rɪˈfjuːz/
100,Komunikować się,Communicate,/kəˈmjuː.nə.keɪt/,/kəˈmjuː.nɪ.keɪt/
101,Porównywać,Compare,/kəmˈper/,/kəmˈpeə/
102,Sugerować,Suggest,/səˈdʒest/,/səˈdʒest/
103,Obwiniać,Blame,/bleɪm/,/bleɪm/
104,Karmić,Feed,/fiːd/,/fiːd/
105,Parkować,Park,/pɑːrk/,/pɑːk/
106,Zamiatać,Sweep,/swiːp/,/swiːp/
107,Prasować,Iron,/ˈaɪ.ɚn/,/ˈaɪən/
108,Oszczędzać,Save,/seɪv/,/seɪv/
109,Wydawać,Spend,/spend/,/spend/
110,Zarabiać,Earn,/ɝːn/,/ɜːn/
111,Atakować,Attack,/əˈtæk/,/əˈtæk/
112,Bronić,Defend,/dɪˈfend/,/dɪˈfend/
113,Kłócić się,Argue,/ˈɑːrɡ.juː/,/ˈɑːɡ.juː/
114,Krzyczeć,Shout,/ʃaʊt/,/ʃaʊt/
115,Ukrywać,Hide,/haɪd/,/haɪd/
116,Potwierdzać,Confirm,/kənˈfɝːm/,/kənˈfɜːm/
117,Dojeżdżać,Commute,/kəˈmjuːt/,/kəˈmjuːt/
118,Rezerwować,Book / Reserve,/bʊk/ /rɪˈzɝːv/,/bʊk/ /rɪˈzɜːv/
119,Pakować,Pack,/pæk/,/pæk/
120,Edytować,Edit,/ˈed.ɪt/,/ˈed.ɪt/
121,Kopiować,Copy,/ˈkɑː.pi/,/ˈkɒp.i/
122,Wklejać,Paste,/peɪst/,/peɪst/
123,Usuwać,Delete / Remove,/dɪˈliːt/ /rɪˈmuːv/,/dɪˈliːt/ /rɪˈmuːv/
124,Klikać,Click,/klɪk/,/klɪk/
125,Pobierać,Download,/ˌdaʊnˈloʊd/,/ˌdaʊnˈləʊd/
126,Wysyłać,Upload,/ʌpˈloʊd/,/ʌpˈləʊd/
127,Przeglądać,Browse,/braʊz/,/braʊz/
128,Wyszukiwać,Search,/sɝːtʃ/,/sɜːtʃ/
129,Logować się,Log in,/lɑːɡ ɪn/,/lɒɡ ɪn/
130,Wylogowywać się,Log out,/lɑːɡ aʊt/,/lɒɡ aʊt/
131,Odnieść sukces,Succeed,/səkˈsiːd/,/səkˈsiːd/
132,Ponieść porażkę,Fail,/feɪl/,/feɪl/
133,Ignorować,Ignore,/ɪɡˈnɔːr/,/ɪɡˈnɔː/
134,Obiecywać,Promise,/ˈprɑː.mɪs/,/ˈprɒm.ɪs/
135,Ostrzegać,Warn,/wɔːrn/,/wɔːn/
136,Mierzyć,Measure,/ˈmeʒ.ɚ/,/ˈmeʒ.ə/
137,Ważyć,Weigh,/weɪ/,/weɪ/
138,Mieszać,Mix,/mɪks/,/mɪks/
139,Smażyć,Fry,/fraɪ/,/fraɪ/
140,Piec,Bake,/beɪk/,/beɪk/
