Numer,Słowo (Angielski),Wymowa (IPA),Tłumaczenie (Polski)
1,the,/ðə/,przedimek określony
2,be,/biː/,być
3,to,/tuː/,do
4,of,/əv/,z (dopełniacz)
5,and,/ænd/,i/oraz
6,a,/ə/,przedimek nieokreślony
7,in,/ɪn/,w
8,that,/ðæt/,że/tamten
9,have,/hæv/,mieć
10,I,/aɪ/,ja
11,it,/ɪt/,to/ono
12,for,/fɔːr/,dla
13,not,/nɒt/,nie
14,on,/ɒn/,na
15,with,/wɪð/,z
16,he,/hiː/,on
17,as,/æz/,jako/jak
18,you,/juː/,ty/wy
19,do,/duː/,robić
20,at,/æt/,w/przy
21,this,/ðɪs/,ten/to
22,but,/bʌt/,ale
23,his,/hɪz/,jego
24,by,/baɪ/,przez/przy
25,from,/frɒm/,z/od
26,they,/ðeɪ/,oni/one
27,we,/wiː/,my
28,say,/seɪ/,mówić
29,her,/hɜːr/,jej
30,she,/ʃiː/,ona
31,or,/ɔːr/,lub/albo
32,an,/æn/,przedimek nieokreślony
33,will,/wɪl/,czasownik modalny (przyszłość)
34,my,/maɪ/,mój
35,one,/wʌn/,jeden
36,all,/ɔːl/,wszyscy/wszystko
37,would,/wʊd/,czasownik modalny (tryb przypuszczający)
38,there,/ðer/,tam
39,their,/ðer/,ich
40,what,/wɒt/,co
41,so,/səʊ/,więc
42,up,/ʌp/,w górę
43,out,/aʊt/,na zewnątrz
44,if,/ɪf/,jeśli/jeżeli
45,about,/əˈbaʊt/,o
46,who,/huː/,kto
47,get,/ɡet/,dostać/otrzymać
48,which,/wɪtʃ/,który
49,go,/ɡəʊ/,iść/jechać
50,me,/miː/,mnie/mi
51,when,/wen/,kiedy
52,make,/meɪk/,robić/tworzyć
53,can,/kæn/,móc/potrafić
54,like,/laɪk/,lubić/jak
55,time,/taɪm/,czas
56,no,/nəʊ/,nie
57,just,/dʒʌst/,tylko/właśnie
58,him,/hɪm/,jego/jemu
59,know,/nəʊ/,wiedzieć/znać
60,take,/teɪk/,brać/wziąć
61,people,/ˈpiːpl/,ludzie
62,into,/ˈɪntuː/,do środka/w
63,year,/jɪər/,rok
64,your,/jɔːr/,twój/wasz
65,good,/ɡʊd/,dobry
66,some,/sʌm/,trochę/niektórzy
67,could,/kʊd/,móc (w przeszłości)
68,them,/ðem/,ich/im
69,see,/siː/,widzieć
70,other,/ˈʌðər/,inny
71,than,/ðæn/,niż
72,then,/ðen/,wtedy/potem
73,now,/naʊ/,teraz
74,look,/lʊk/,patrzeć
75,only,/ˈəʊnli/,tylko
76,come,/kʌm/,przychodzić
77,its,/ɪts/,jego/jej (dla rzeczy)
78,over,/ˈəʊvər/,nad/ponad
79,think,/θɪŋk/,myśleć
80,also,/ˈɔːlsəʊ/,również/także
81,back,/bæk/,plecy/z powrotem
82,after,/ˈɑːftər/,po
83,use,/juːz/,używać
84,two,/tuː/,dwa
85,how,/haʊ/,jak
86,our,/aʊər/,nasz
87,work,/wɜːrk/,praca/pracować
88,first,/fɜːrst/,pierwszy
89,well,/wel/,dobrze
90,way,/weɪ/,droga/sposób
91,even,/ˈiːvən/,nawet
92,new,/njuː/,nowy
93,want,/wɒnt/,chcieć
94,because,/bɪˈkɒz/,ponieważ
95,any,/ˈeni/,jakikolwiek
96,these,/ðiːz/,te/ci
97,give,/ɡɪv/,dawać
98,day,/deɪ/,dzień
99,most,/məʊst/,najwięcej/większość
100,us,/ʌs/,nas/nam
101,place,/pleɪs/,miejsce
102,made,/meɪd/,zrobiony
103,live,/lɪv/,żyć/mieszkać
104,where,/wer/,gdzie
105,little,/ˈlɪtl/,mały/trochę
106,round,/raʊnd/,okrągły/runda
107,man,/mæn/,mężczyzna/człowiek
108,came,/keɪm/,przyszedł
109,show,/ʃəʊ/,pokazywać/przedstawienie
110,every,/ˈevri/,każdy
111,under,/ˈʌndər/,pod
112,name,/neɪm/,imię/nazwa
113,very,/ˈveri/,bardzo
114,through,/θruː/,przez
115,form,/fɔːrm/,forma/tworzyć
116,sentence,/ˈsentəns/,zdanie
117,great,/ɡreɪt/,wspaniały/wielki
118,help,/help/,pomoc/pomagać
119,low,/ləʊ/,niski
120,line,/laɪn/,linia/kolejka
121,differ,/ˈdɪfər/,różnić się
122,turn,/tɜːrn/,skręcać/kolej
123,cause,/kɔːz/,przyczyna/powodować
124,much,/mʌtʃ/,dużo
125,mean,/miːn/,znaczyć/wredny
126,before,/bɪˈfɔːr/,przed
127,move,/muːv/,ruszać się/przeprowadzka
128,right,/raɪt/,prawo/poprawny
129,boy,/bɔɪ/,chłopiec
130,old,/əʊld/,stary
131,too,/tuː/,też/zbyt
132,same,/seɪm/,taki sam
133,tell,/tel/,powiedzieć
134,does,/dʌz/,robi
135,set,/set/,zestaw/ustawiać
136,three,/θriː/,trzy
137,air,/er/,powietrze
138,play,/pleɪ/,grać/bawić się
139,small,/smɔːl/,mały
140,end,/end/,koniec/kończyć
141,put,/pʊt/,kłaść/położyć
142,home,/həʊm/,dom
143,read,/riːd/,czytać
144,hand,/hænd/,ręka
145,port,/pɔːrt/,port
146,large,/lɑːrdʒ/,duży/wielki
147,spell,/spel/,literować/zaklęcie
148,add,/æd/,dodawać
149,land,/lænd/,ląd/ziemia/lądować
150,here,/hɪər/,tutaj
151,must,/mʌst/,musieć
152,big,/bɪɡ/,duży
153,high,/haɪ/,wysoki
154,such,/sʌtʃ/,taki
155,follow,/ˈfɒləʊ/,podążać/śledzić
156,act,/ækt/,akt/działać
157,why,/waɪ/,dlaczego
158,ask,/ɑːsk/,pytać
159,men,/men/,mężczyźni
160,change,/tʃeɪndʒ/,zmiana/zmieniać
161,went,/went/,poszedł
162,light,/laɪt/,światło/lekki
163,kind,/kaɪnd/,rodzaj/miły
164,off,/ɒf/,wyłączony/z
165,need,/niːd/,potrzebować/potrzeba
166,house,/haʊs/,dom
167,picture,/ˈpɪktʃər/,obrazek/zdjęcie
168,try,/traɪ/,próbować
169,again,/əˈɡen/,znowu/ponownie
170,animal,/ˈænɪməl/,zwierzę
171,point,/pɔɪnt/,punkt/wskazywać
172,mother,/ˈmʌðər/,matka
173,world,/wɜːrld/,świat
174,near,/nɪər/,blisko
175,build,/bɪld/,budować
